1556115016.56987,-263.587341,-67.914711,-9.846148,-2.201127,-0.041359,0.031535
1556115016.6701,-263.806274,-68.213768,-9.842072,-2.19625,-0.038537,0.032814
1556115016.77033,-264.013092,-68.512962,-9.840397,-2.19184,-0.03641,0.031897
1556115016.87049,-264.225769,-68.80999,-9.838459,-2.18675,-0.034026,0.030268
1556115016.97073,-264.460907,-69.128304,-9.835047,-2.180808,-0.033144,0.026551
1556115017.07091,-264.671661,-69.440117,-9.833849,-2.174357,-0.033184,0.024794
1556115017.1711,-264.887573,-69.750824,-9.822046,-2.167771,-0.033186,0.023749
1556115017.27133,-265.097778,-70.067139,-9.821259,-2.161596,-0.032747,0.024166
1556115017.37149,-265.302612,-70.401024,-9.81393,-2.15595,-0.032229,0.025755
1556115017.47171,-265.510223,-70.714355,-9.805769,-2.150518,-0.031994,0.026556
